trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
413,False,"{'a': 0.99, 'e': 0.015751987873315082}",25,12,20.38480370235234,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.99, 'e': 0.015594467994581931}",20,14,12.56762090824351,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.99, 'e': 0.015438523314636111}",20,12,15.01625704910077,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.99, 'e': 0.01528413808148975}",25,15,21.459482008434446,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.99, 'e': 0.015131296700674854}",20,12,16.173770142017098,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.99, 'e': 0.014979983733668104}",20,16,5.092874960142839,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.99, 'e': 0.014830183896331423}",20,0,34.98486901320678,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
420,False,"{'a': 0.99, 'e': 0.014681882057368109}",25,20,11.347819888252214,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.99, 'e': 0.014535063236794427}",25,12,27.683718410271624,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.99, 'e': 0.014389712604426484}",35,21,25.85784945088462,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.99, 'e': 0.014245815478382218}",25,11,27.61764598190894,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.99, 'e': 0.014103357323598397}",20,2,28.800789287171476,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.99, 'e': 0.013962323750362412}",30,11,36.57212448166625,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.99, 'e': 0.013822700512858787}",25,17,16.11924406196278,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.99, 'e': 0.013684473507730199}",30,21,20.01748493249535,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
